"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","N (# obs)"
"Alachua","13 Aug 1999","85.54","74.66","95.23","71","0.01","0.01","0.00","56"
"Alachua","14 Aug 1999","79.43","72.14","93.90","86","0.97","0.29","0.00","96"
"Alachua","15 Aug 1999","78.14","71.22","86.95","88","0.00","0.00","0.00","96"
"Alachua","16 Aug 1999","81.00","72.34","93.25","77","0.00","0.00","0.00","96"
"Alachua","17 Aug 1999","79.68","70.72","90.66","81","0.00","0.00","0.00","96"
"Alachua","18 Aug 1999","79.16","71.62","91.76","84","0.52","0.41","0.00","96"
"Alachua","19 Aug 1999","79.12","72.57","90.30","82","0.00","0.00","0.00","96"
"Alachua","20 Aug 1999","76.09","71.11","85.19","90","0.02","0.01","0.00","96"
"Alachua","21 Aug 1999","80.55","72.12","89.71","80","0.00","0.00","0.00","96"
"Alachua","22 Aug 1999","78.37","70.48","91.18","84","0.01","0.01","0.00","96"
"Alachua","23 Aug 1999","77.45","68.20","89.19","82","0.00","0.00","0.00","96"
"Alachua","24 Aug 1999","79.05","70.61","89.42","84","0.00","0.00","0.00","96"
"Alachua","25 Aug 1999","80.49","72.09","89.53","81","0.00","0.00","0.00","96"
"Alachua","26 Aug 1999","81.28","72.10","91.27","81","0.00","0.00","0.00","96"
"Alachua","27 Aug 1999","82.13","72.46","93.72","79","0.00","0.00","0.00","96"
"Alachua","28 Aug 1999","80.73","71.11","91.54","79","0.00","0.00","0.00","96"
"Alachua","29 Aug 1999","81.88","74.21","91.22","77","0.00","0.00","0.00","96"
"Alachua","30 Aug 1999","80.90","71.67","90.68","78","0.00","0.00","0.00","96"
"Alachua","31 Aug 1999","77.51","68.56","87.06","76","0.00","0.00","0.00","96"
"Alachua","1 Sep 1999","74.19","62.44","88.30","76","0.00","0.00","0.00","96"
"Alachua","2 Sep 1999","75.56","62.24","90.34","72","0.00","0.00","0.00","96"
"Alachua","3 Sep 1999","77.61","62.89","92.93","72","0.00","0.00","0.00","96"
"Alachua","4 Sep 1999","78.42","65.68","92.16","71","0.00","0.00","0.00","96"
"Alachua","5 Sep 1999","80.65","70.14","92.16","73","0.00","0.00","0.00","96"
"Alachua","6 Sep 1999","80.51","74.55","87.84","81","0.01","0.01","0.00","96"
"Alachua","7 Sep 1999","77.20","72.01","90.23","87","0.34","0.26","0.00","96"
"Alachua","8 Sep 1999","77.62","68.45","90.16","83","0.00","0.00","0.00","96"
"Alachua","9 Sep 1999","78.10","68.22","89.60","80","0.00","0.00","0.00","96"
"Alachua","10 Sep 1999","76.74","68.72","88.41","82","0.00","0.00","0.00","96"
"Alachua","11 Sep 1999","76.71","67.96","87.48","82","0.00","0.00","0.00","96"
"Alachua","12 Sep 1999","74.96","67.75","83.88","86","0.00","0.00","0.00","96"
"Alachua","13 Sep 1999","77.00","68.25","86.65","76","0.00","0.00","0.00","96"
"Alachua","14 Sep 1999","76.59","68.65","85.59","84","0.09","0.04","0.00","96"
"Alachua","15 Sep 1999","77.61","72.91","81.57","75","0.03","0.01","0.00","96"
"Alachua","16 Sep 1999","76.03","62.78","89.58","68","0.00","0.00","0.00","96"
"Alachua","17 Sep 1999","73.77","54.61","90.45","74","0.00","0.00","0.00","96"
"Alachua","18 Sep 1999","76.27","73.38","82.17","91","0.64","0.15","0.00","96"
"Alachua","19 Sep 1999","75.23","70.61","81.25","92","1.76","0.66","0.00","96"
"Alachua","20 Sep 1999","74.65","72.19","82.49","94","1.01","0.16","0.00","96"
"Alachua","21 Sep 1999","74.47","69.03","80.94","89","0.06","0.04","0.00","96"
"Alachua","22 Sep 1999","66.31","60.57","72.54","86","0.00","0.00","0.00","96"
"Alachua","23 Sep 1999","66.92","56.97","76.82","83","0.00","0.00","0.00","96"
"Alachua","24 Sep 1999","72.90","63.09","85.71","82","0.00","0.00","0.00","96"
"Alachua","25 Sep 1999","74.40","68.67","84.61","88","0.00","0.00","0.00","96"
"Alachua","26 Sep 1999","74.55","70.21","83.19","94","1.09","0.35","0.00","96"
"Alachua","27 Sep 1999","76.13","73.15","84.51","94","1.14","0.42","0.00","96"
"Alachua","28 Sep 1999","78.94","73.98","89.98","87","0.14","0.05","0.00","96"
"Alachua","29 Sep 1999","78.22","70.84","88.05","86","0.01","0.01","0.00","96"
"Alachua","30 Sep 1999","74.15","69.12","80.42","88","0.00","0.00","0.00","96"
"Alachua","1 Oct 1999","71.24","65.10","79.92","80","0.00","0.00","0.00","96"
"Alachua","2 Oct 1999","74.89","64.74","85.66","81","0.00","0.00","0.00","96"
"Alachua","3 Oct 1999","76.06","70.70","82.74","88","0.05","0.04","0.00","96"
"Alachua","4 Oct 1999","74.85","71.53","80.71","93","0.04","0.01","0.00","96"
"Alachua","5 Oct 1999","72.06","69.26","76.12","93","0.09","0.01","0.00","96"
"Alachua","6 Oct 1999","70.65","64.44","79.66","83","0.00","0.00","0.00","96"
"Alachua","7 Oct 1999","71.43","63.97","80.49","79","0.01","0.01","0.00","96"
"Alachua","8 Oct 1999","74.29","66.54","82.06","79","0.00","0.00","0.00","96"
"Alachua","9 Oct 1999","78.03","73.15","83.59","75","0.00","0.00","0.00","96"
"Alachua","10 Oct 1999","75.63","66.34","85.71","78","0.00","0.00","0.00","96"
"Alachua","11 Oct 1999","74.57","63.19","87.76","78","0.00","0.00","0.00","96"
"Alachua","12 Oct 1999","75.31","66.49","86.97","82","0.11","0.11","0.00","96"
"Alachua","13 Oct 1999","74.55","67.06","84.70","84","0.00","0.00","0.00","96"
"Alachua","14 Oct 1999","73.54","67.82","82.83","83","0.00","0.00","0.00","96"
"Alachua","15 Oct 1999","73.12","66.92","80.64","92","0.52","0.34","27.07","96"
"Alachua","16 Oct 1999","72.59","70.36","75.07","91","0.17","0.07","53.03","96"
"Alachua","17 Oct 1999","73.50","67.28","81.61","81","0.01","0.01","167.74","96"
"Alachua","18 Oct 1999","69.64","59.32","82.29","81","0.00","0.00","223.51","96"
"Alachua","19 Oct 1999","72.12","60.03","84.38","82","0.00","0.00","203.23","96"
"Alachua","20 Oct 1999","74.60","69.44","81.52","89","0.00","0.00","99.68","96"
"Alachua","21 Oct 1999","63.94","59.68","69.19","96","0.08","0.02","31.27","96"
"Alachua","22 Oct 1999","60.45","53.87","71.51","82","0.00","0.00","205.37","96"
"Alachua","23 Oct 1999","60.96","50.56","72.00","64","0.00","0.00","227.29","96"
"Alachua","24 Oct 1999","51.85","39.89","65.07","67","0.00","0.00","227.14","96"
"Alachua","25 Oct 1999","55.59","38.73","71.94","75","0.00","0.00","207.09","96"
"Alachua","26 Oct 1999","62.39","51.49","75.54","81","0.00","0.00","198.46","96"
"Alachua","27 Oct 1999","59.69","46.87","75.56","77","0.00","0.00","213.38","96"
"Alachua","28 Oct 1999","61.93","44.80","76.39","77","0.00","0.00","195.92","96"
"Alachua","29 Oct 1999","67.81","59.13","77.77","83","0.00","0.00","150.05","96"
"Alachua","30 Oct 1999","69.94","64.27","80.78","85","0.00","0.00","156.83","96"
"Alachua","31 Oct 1999","71.57","63.99","81.37","84","0.00","0.00","152.90","96"
"Alachua","1 Nov 1999","72.39","68.32","79.12","89","1.42","0.38","81.25","96"
"Alachua","2 Nov 1999","64.36","52.54","71.80","77","0.01","0.01","170.24","96"
"Alachua","3 Nov 1999","49.37","38.19","60.39","63","0.00","0.00","214.82","96"
"Alachua","4 Nov 1999","50.52","32.74","67.03","71","0.00","0.00","209.75","96"
"Alachua","5 Nov 1999","59.76","47.73","73.31","77","0.00","0.00","194.42","96"
"Alachua","6 Nov 1999","61.44","51.94","74.32","79","0.00","0.00","183.21","96"
"Alachua","7 Nov 1999","59.70","45.95","75.72","78","0.00","0.00","194.41","96"
