Station Name,Station ID,Start Date,Facility Name,County,Latitude (deg),Longitude (deg),Elevation (ft),Soil Type,NWS SHEF ID,Metadata
Alachua,260,1999-04-13,UF/IFAS Dept. of Agronomy Forage Research Unit,Alachua,N 29.80266,W 82.41081,160,"Chipley, Mulat, Sparr fine sand",ALHF1,
Apopka,320,1997-12-19,UF/IFAS Mid-Florida Research and Education Center,Orange,N 28.63771,W 81.54675,107,Tavares-Millhopper fine sand,POPF1,
Arcadia,490,2005-07-08,UF/IFAS Desoto County Extension Office,Desoto,N 27.22621,W 81.83838,64,"Smyrna fine, Myakka fine sand",,"Symyna fine, Myakka fine"
Avalon,304,1997-12-15,Water Conserv II,Orange,N 28.47485,W 81.65300,196,Candler fine sand,VLNF1,
Balm,350,2003-12-19,UF/IFAS Gulf Coast Research and Education Center,Hillsborough,N 27.75998,W 82.22410,129,"Zolfo fine, Myakka fine sand",,
Belle Glade,410,2003-11-18,UF/IFAS Everglades Research and Education Center,Palm Beach,N 26.65678,W 80.63001,11,"Pahokee muck, Terra Ceia muck",,
Bronson,230,2002-09-24,UF Dept. of Astronomy Rosemary Observatory,Levy,N 29.40038,W 82.58611,116,"Candler fine, Astatula fine sand",,
Brooksvile,310,2000-03-27,USDA Brooksville Subtrpoical Agricultutral Station,Hernando,N 28.63471,W 82.28511,107,"Candler fine, Lake fine sand",KSLF1,Decommissioned 9/2012
Carrabelle,150,2003-03-27,Florida Forest Service Tate's Hell State Forest HQ,Franklin,N 29.84240,W 84.69511,19,"Resota fine, Rutlege fine, Dorovan-Pamlico complex, Leon sand",,
Citra,250,2003-10-10,UF/IFAS Plant Science Research and Education Unit,Marion,N 29.4101,W 82.1732,60,"Arrendondo, Sparr fine, Tavares sand",TRAF1,
Clewiston,405,2007-11-21,Airglades Airport,Hendry,N 26.73906,W 81.05278,19,"Margate, Hallandale sand",,
Dade City,311,2012-09-10,Pasco County High School,Pasco,N 28.34922,W 82.20475,122,"Arrendondo fine, Quartzipsaments sand",,
Defuniak Springs,120,2013-05-17,Walton County District 2 and 3 Workshop,Walton,N 30.87664,W 86.21385,262,"Ornageburg sandy loam, Dothan loamy sand, Kinston-Johnston-Bibb sand",,
Dover,360,1998-05-05,Florida Strawberry Assoication,Hillsborough,N 28.0151,W 82.23254,69,"Seffner fine, Lake/Ona fine sand",DOVF1,
Frost Proof,390,2005-11-16,Ben Hill Griffin Elementary School,Polk,N 27.76551,W 81.53735,164,Candler sand,,
Ft. Lauderdale,420,2001-01-24,UF/IFAS Fort Lauderdale Research and Education Center,Broward,N 26.08530,W 80.24050,5,"Margate fine, Hallandale fine sand",FDLF1,
Ft. Pierce,430,1998-04-30,UF/IFAS Indian River Research and Education Center,St. Lucie,N 27.42708,W 80.40536,19,"Winder loamy, Wabasso sand",PCEF1,Moved spring 2014 - now St. Lucie West
Hastings,270,1999-08-04,"UF/IFAS Florida Partnership for Water, Agriculture, & Community Sustainability, Cowpen Facility",St. John's,N 29.69332,W 81.44485,25,"Eltzey fine, Placid fine, Pomona fine sand",STNF1,
Homestead,440,1997-12-29,UF/IFAS Tropical Research and Education Center,Dade,N 25.5126,W 80.5031,8,Krome very gravellly sand,STDF1,
Immokalee,450,1997-12-30,UF/IFAS Southwest Florida Research and Education Center,Collier,N 26.46225,W 81.44033,35,"Immokalee fine, Pomello fine sand",IMKF1,
Indian River,371,2010-06-22,Abundant Blessings Farm,Indian River,N 27.61916,W 80.57259,23,"Riviera Fine, Manatee loam",,
Jay,110,2002-09-18,UF/IFAS West Florida Research and Education Center,Santa Rosa,N 30.77516,W 87.14015,210,"Red Bay sandy loam, Orangeburg sandy loam, Dothan fine sandy loam",,
Joshua,241,2013-01-18,Joshua Water and Control District,Desoto,N 27.25980,W 81.61305,89,"Myakka fine sand, Basinger fine sand, Symrna fine sand",,Research station w/ limited sensor suite
Kenansville,340,2003-01-28,FWC Three Lakes Wildlife Management Area,Osceola,N 27.96221,W 81.05123,69,Cassia fine sand,,
Lake Alfred,330,1997-12-31,UF/IFAS Citrus Research and Education Center,Polk,N 28.10185,W 81.71128,154,"Candler, Samsula muck",KALF1,
Lecanto,275,2013-07-02,Lecanto High School,Citrus,N 28.82914,W 82.49890,53,"Candler fine, Lake fine, Kendrick fine sand",,
Live Oak,170,2002-09-24,Suwanee Valley Agricultural Extension Center,Suwanee,N 30.30500,W 82.89876,165,"Hurricane, Albany, Chipley soil; Blanton-Foxworth-Alpin complex; Chipley-Albany-Foxworth complex",,
Macclenny,180,2002-09-17,Baker County Extension Office,Baker,N 30.28148,W 82.13798,126,"Albany fine sand, Osler fine sand, Blanton fine sand",,
Marianna,130,2002-09-24,UF/IFAS North Florida Research and Education Center - Marianna,Gadsden,N 30.85000,W 85.16516,115,"Chipola loamy, Orangeburg sand",,
Mayo,121,2013-01-15,Lafayette County Landfill,Lafayette,N 30.07974,W 83.23457,75,"Otela-Penney complex, Penney sand, Blanton-Ortega complex",,
Monticello,160,2003-04-30,Jefferson County Extension Office,Jefferson,N 30.5357,W 83.9176,163,"Dothan loamy, Fuquay fine, Cowarts loamy fine sand",,
North Port,480,2007-07-05,"T. Mabry Carlton, Jr. Memorial Reserve",Sarasota,N 27.14340,W 82.33741,16,"Pineda, EauGallie/Myakka fine sand",,
Ocklawaha,280,1998-12-19,Carney Island Recreation and Conservation Area,Marion,N 29.02033,W 81.96896,79,"Candler, Pompano, Tavares sand",CKHF1,
Okeechobee,455,2013-07-16,South Florida Water Management District Taylor Creek/Grassy Island Stormwater Treatment Area,Okeechobee,N 27.33059,W 80.85141,29,"Immokalee fine sand, Floridana, Placid, Okeelanta soils, Myakka fine sand",,
Okahumpka,303,1997-12-12,USDA Wihtmore Foundation Farm,Lake,N 28.68165,W 81.88565,90,"Candler, Placid/Myakka, Tavares sand",KHPF1,
Ona,380,1998-03-10,UF/IFAS Range Cattle Research and Education Center,Hardee,N 27.39750,W 81.93973,75,"Pomona fine, Floridana mucky",NNAF1,
Palmdale,460,2003-04-02,Florida Forest Service Palmdale Observation Site,Glades,N 26.92480,W 81.31455,38,"Immokalee, Pomello sand",,
Pierson,290,1998-04-03,Florida Fern Growers Association/Richardson Farms,Volusia,N 29.21717,W 81.46065,53,"Deland fine, Samsula muck, Cassia fine, Myakka fine sand",EPRF1,Moved 3/2/04
Putnam Hall,240,2001-01-24,UF/IFAS Ordway Swisher Biological Station,Putnam,N 29.69700,W 81.98600,149,"Candler fine, Placid fine sand",PHAF1,
Quincy,140,2002-09-24,UF/IFAS North Florida Research and Education Center - Quincy,Jackson,N 30.54581,W 84.59898,235,"Norfolkd loamy sand, Orangeburg-Norfolk, Pickney/Dorovan/Bibb sand",,
Sebring,470,2003-04-02,Florida Forest Service Sebring Observation Site,Highlands,N 27.42108,W 81.40095,117,"Astatula, Udorthentis (excavated) sand",,
St. Lucie West,435,2013-10-21,"Vero Producers, Inc.",St. Lucie,N 27.33776,W 80.61915,24,"Malabar fine sand, Basinger sand, Pepper/EauGallie sands",,
Umatilla,302,1997-12-12,Umatilla Municipal Airport,Lake,N 28.92655,W 81.65297,104,"Candler, Sparr, Lochloosa sand",UMLF1,
Wellington,425,2013-07-02,South Florida Water Management District Stormwater Treatment Area 1-E,Palm Beach,N 26.68076,W 80.30058,23,"Riviera fine sand, Quartzipsamments",,
