FAWN Station,Period,10m T avg (C),10m T min (C),10m T max (C),RelHum avg 2m  (pct),2m Rain tot (in),2m Rain max over 15min (in),SolRad avg2m  (w/m^2),N (# obs)
Alachua,13-Aug-99,29.74444444,23.7,35.12777778,71,0.01,0.01,0,56
Alachua,14-Aug-99,26.35,22.3,34.38888889,86,0.97,0.29,0,96
Alachua,15-Aug-99,25.63333333,21.78888889,30.52777778,88,0,0,0,96
Alachua,16-Aug-99,27.22222222,22.41111111,34.02777778,77,0,0,0,96
Alachua,17-Aug-99,26.48888889,21.51111111,32.58888889,81,0,0,0,96
Alachua,18-Aug-99,26.2,22.01111111,33.2,84,0.52,0.41,0,96
Alachua,19-Aug-99,26.17777778,22.53888889,32.38888889,82,0,0,0,96
Alachua,20-Aug-99,24.49444444,21.72777778,29.55,90,0.02,0.01,0,96
Alachua,21-Aug-99,26.97222222,22.28888889,32.06111111,80,0,0,0,96
Alachua,22-Aug-99,25.76111111,21.37777778,32.87777778,84,0.01,0.01,0,96
Alachua,23-Aug-99,25.25,20.11111111,31.77222222,82,0,0,0,96
Alachua,24-Aug-99,26.13888889,21.45,31.9,84,0,0,0,96
Alachua,25-Aug-99,26.93888889,22.27222222,31.96111111,81,0,0,0,96
Alachua,26-Aug-99,27.37777778,22.27777778,32.92777778,81,0,0,0,96
Alachua,27-Aug-99,27.85,22.47777778,34.28888889,79,0,0,0,96
Alachua,28-Aug-99,27.07222222,21.72777778,33.07777778,79,0,0,0,96
Alachua,29-Aug-99,27.71111111,23.45,32.9,77,0,0,0,96
Alachua,30-Aug-99,27.16666667,22.03888889,32.6,78,0,0,0,96
Alachua,31-Aug-99,25.28333333,20.31111111,30.58888889,76,0,0,0,96
Alachua,01-Sep-99,23.43888889,16.91111111,31.27777778,76,0,0,0,96
Alachua,02-Sep-99,24.2,16.8,32.41111111,72,0,0,0,96
Alachua,03-Sep-99,25.33888889,17.16111111,33.85,72,0,0,0,96
Alachua,04-Sep-99,25.78888889,18.71111111,33.42222222,71,0,0,0,96
Alachua,05-Sep-99,27.02777778,21.18888889,33.42222222,73,0,0,0,96
Alachua,06-Sep-99,26.95,23.63888889,31.02222222,81,0.01,0.01,0,96
Alachua,07-Sep-99,25.11111111,22.22777778,32.35,87,0.34,0.26,0,96
Alachua,08-Sep-99,25.34444444,20.25,32.31111111,83,0,0,0,96
Alachua,09-Sep-99,25.61111111,20.12222222,32,80,0,0,0,96
Alachua,10-Sep-99,24.85555556,20.4,31.33888889,82,0,0,0,96
Alachua,11-Sep-99,24.83888889,19.97777778,30.82222222,82,0,0,0,96
Alachua,12-Sep-99,23.86666667,19.86111111,28.82222222,86,0,0,0,96
Alachua,13-Sep-99,25,20.13888889,30.36111111,76,0,0,0,96
Alachua,14-Sep-99,24.77222222,20.36111111,29.77222222,84,0.09,0.04,0,96
Alachua,15-Sep-99,25.33888889,22.72777778,27.53888889,75,0.03,0.01,0,96
Alachua,16-Sep-99,24.46111111,17.1,31.98888889,68,0,0,0,96
Alachua,17-Sep-99,23.20555556,12.56111111,32.47222222,74,0,0,0,96
Alachua,18-Sep-99,24.59444444,22.98888889,27.87222222,91,0.64,0.15,0,96
Alachua,19-Sep-99,24.01666667,21.45,27.36111111,92,1.76,0.66,0,96
Alachua,20-Sep-99,23.69444444,22.32777778,28.05,94,1.01,0.16,0,96
Alachua,21-Sep-99,23.59444444,20.57222222,27.18888889,89,0.06,0.04,0,96
Alachua,22-Sep-99,19.06111111,15.87222222,22.52222222,86,0,0,0,96
Alachua,23-Sep-99,19.4,13.87222222,24.9,83,0,0,0,96
Alachua,24-Sep-99,22.72222222,17.27222222,29.83888889,82,0,0,0,96
Alachua,25-Sep-99,23.55555556,20.37222222,29.22777778,88,0,0,0,96
Alachua,26-Sep-99,23.63888889,21.22777778,28.43888889,94,1.09,0.35,0,96
Alachua,27-Sep-99,24.51666667,22.86111111,29.17222222,94,1.14,0.42,0,96
Alachua,28-Sep-99,26.07777778,23.32222222,32.21111111,87,0.14,0.05,0,96
Alachua,29-Sep-99,25.67777778,21.57777778,31.13888889,86,0.01,0.01,0,96
Alachua,30-Sep-99,23.41666667,20.62222222,26.9,88,0,0,0,96
Alachua,01-Oct-99,21.8,18.38888889,26.62222222,80,0,0,0,96
Alachua,02-Oct-99,23.82777778,18.18888889,29.81111111,81,0,0,0,96
Alachua,03-Oct-99,24.47777778,21.5,28.18888889,88,0.05,0.04,0,96
Alachua,04-Oct-99,23.80555556,21.96111111,27.06111111,93,0.04,0.01,0,96
Alachua,05-Oct-99,22.25555556,20.7,24.51111111,93,0.09,0.01,0,96
Alachua,06-Oct-99,21.47222222,18.02222222,26.47777778,83,0,0,0,96
Alachua,07-Oct-99,21.90555556,17.76111111,26.93888889,79,0.01,0.01,0,96
Alachua,08-Oct-99,23.49444444,19.18888889,27.81111111,79,0,0,0,96
Alachua,09-Oct-99,25.57222222,22.86111111,28.66111111,75,0,0,0,96
Alachua,10-Oct-99,24.23888889,19.07777778,29.83888889,78,0,0,0,96
Alachua,11-Oct-99,23.65,17.32777778,30.97777778,78,0,0,0,96
Alachua,12-Oct-99,24.06111111,19.16111111,30.53888889,82,0.11,0.11,0,96
Alachua,13-Oct-99,23.63888889,19.47777778,29.27777778,84,0,0,0,96
